ax,ay,az,temp
-2.67,-9.32,-2.32,32.69
-2.14,-7.75,-7.75,32.63
-4.47,-5.78,-5.39,32.67
0.2,-11.28,-3.77,32.67
-0.72,-11.45,-0.49,32.64
-1.19,-11.45,0.45,32.69
-1.76,-13.17,0.75,32.61
-0.75,-11.43,-3.39,32.61
-0.57,-7.27,-5.48,32.61
1.82,-7.51,-5.63,32.69
-0.75,-9.33,-1.29,32.67
-0.34,-13.93,1.23,32.62
-1.28,-10.35,-4.91,32.67
-0.24,-7.05,-5.78,32.66
2.31,-7.65,-4.84,32.65
0.5,-10.7,-0.96,32.67
-0.44,-12.98,-0.18,32.64
-1.04,-9.11,-5.44,32.65
0.61,-6.8,-6.04,32.66
1.25,-8.31,-5.13,32.64
0.51,-10.64,-0.84,32.69
-0.06,-12.7,0.44,32.66
0.55,-10.43,-5.99,32.64
-1.59,-7.6,-6.21,32.61
-1.75,-10.59,-1.82,32.69
-0.49,-12.65,-0.87,32.7
-1.41,-9.81,-1.65,32.66
0.64,-6.52,-4.58,32.64
-0.65,-5.25,-6.15,32.66
-3.03,-9.59,0.32,32.68
0.22,-11.77,-0.47,32.64
1.7,-10.34,-2.1,32.65
0.98,-6.56,-5.09,32.63
-0.55,-6.1,-4.71,32.69
-2.52,-9.59,-1.8,32.68
-1.59,-11.71,-0.21,32.65
-0.81,-9.95,-2.08,32.64
0.06,-7.23,-5.28,32.66
0.91,-6.01,-7.18,32.69
-3.27,-7.58,-4.56,32.67
-0.13,-12.59,0.46,32.62
0.82,-12.22,0.02,32.67
-1.87,-8.37,-2.09,32.65
-0.44,-11.7,0.82,32.66
0.21,-11.98,-0.58,32.68
-0.12,-9.73,-3.79,32.63
-0.64,-6.23,-4.15,32.64
0.71,-8.0,-5.49,32.64
-1.22,-10.41,-1.91,32.65
1.31,-12.88,-0.5,32.65
-0.32,-10.11,-3.95,32.67
-1.39,-5.81,-5.76,32.62
0.43,-7.19,-6.96,32.64
-0.91,-10.88,-1.89,32.65
0.29,-13.08,0.47,32.63
-0.5,-11.71,-3.8,32.64
-0.6,-6.97,-5.49,32.64
-0.18,-8.18,-5.72,32.66
-0.23,-10.61,-0.38,32.66
-0.48,-12.97,-2.61,32.67
-2.93,-10.49,-4.04,32.66
0.15,-6.77,-6.83,32.65
-2.63,-7.94,-9.01,32.66
-5.23,-7.35,-5.39,32.68
1.82,-10.59,-4.13,32.67
-0.5,-11.39,-1.33,32.64
-5.46,-8.81,-2.2,32.67
-3.07,-7.21,-9.56,32.66
-3.37,-7.67,-5.42,32.65
-1.8,-10.4,-3.96,32.67
-1.57,-11.19,-0.71,32.63
-2.56,-11.39,-3.4,32.68
-2.5,-6.43,-7.86,32.65
-3.38,-8.34,-5.96,32.64
-0.27,-10.6,-4.38,32.62
-1.01,-11.53,-0.63,32.66
-2.07,-10.25,-3.33,32.63
